thai sentence,english sentence
พ่อมักจะสอนให้เรารู้จักประหยัด และเก็บออมเงินไว้ใช้ยามจำเป็น,Father often teaches us to be economical and save money for necessary times.
น้องสาวชอบช่วยแม่ล้างจานหลังอาหารเย็น และมักจะร้องเพลงไปด้วยอย่างมีความสุข,"Little sister likes to help mother wash dishes after dinner, and often sings happily while doing it."
พี่สาวชอบอ่านหนังสือใต้ต้นไม้ใหญ่ในสวน และบางครั้งก็อ่านให้น้องน้อง ฟัง,"Big sister likes to read books under the big tree in the garden, and sometimes reads to younger siblings."
แม่มักจะสอนให้เรารู้จักมารยาทในการรับประทานอาหาร และการวางตัวในที่สาธารณะ,Mother often teaches us table manners and how to behave in public.
คุณลุงที่ร้านขายของเก่าใจดีมาก และชอบเล่าเรื่องราวของสิ่งของแต่ละชิ้น,The uncle at the antique shop is very kind and likes to tell stories about each item.
น้องชายชอบวาดรูปการ์ตูนในสมุด และมักจะให้เพื่อนเพื่อน ยืมไปดู,Little brother likes to draw cartoons in his notebook and often lets his friends borrow it to look at.
พี่สาวมักจะช่วยสอนการบ้านน้องน้อง และอธิบายอย่างใจเย็นเมื่อน้องไม่เข้าใจ,Big sister often helps younger siblings with homework and explains patiently when they do not understand.
คุณยายชอบนั่งสวดมนต์ในตอนเช้า และสอนให้หลานหลาน รู้จักทำความดี,Grandmother likes to chant prayers in the morning and teaches grandchildren to do good deeds.
พ่อมักจะสอนให้เรารู้จักรับผิดชอบต่อหน้าที่ และทำการบ้านให้เสร็จก่อนไปเล่น,Father often teaches us to be responsible for our duties and finish homework before playing.
น้องสาวชอบช่วยแม่รดน้ำต้นไม้ในตอนเย็น และคอยกวาดใบไม้ที่ร่วงหล่น,"Little sister likes to help mother water the plants in the evening, and sweeps up fallen leaves."
คุณครูศิลปะสอนให้เราใช้จินตนาการในการวาดภาพ และชื่นชมผลงานของทุกคน,The art teacher teaches us to use imagination in drawing and appreciates everyone's work.
แม่ค้าที่ร้านขายของชำมักจะจัดของให้เป็นระเบียบ และติดป้ายราคาชัดเจน,The shopkeeper at the grocery store usually organizes items neatly and displays clear price tags.
คุณตาชอบดูแลสวนผักหลังบ้าน และมักจะชวนหลานหลาน มาช่วยงาน,Grandfather likes to take care of the vegetable garden behind the house and often invites grandchildren to help.
เพื่อนบ้านของเราชอบทำขนมไทยโบราณ และสอนลูกหลานให้สืบทอดวิธีการทำ,Our neighbors like to make traditional Thai desserts and teach their children and grandchildren to preserve the methods.
แม่มักจะสอนให้เรารู้จักแบ่งปันของเล่นกับเพื่อน และเล่นด้วยกันอย่างสามัคคี,Mother often teaches us to share toys with friends and play together harmoniously.
คุณลุงที่ร้านซ่อมรถจักรยานใจดีมาก และมักจะคิดค่าซ่อมในราคาที่สมเหตุสมผล,The uncle at the bicycle repair shop is very kind and usually charges reasonable prices for repairs.
พ่อชอบพาครอบครัวไปเดินเล่นในสวนสาธารณะ และสอนให้เรารู้จักต้นไม้ชนิดต่างต่าง,Father likes to take the family for walks in the park and teaches us about different types of trees.
น้องชายชอบเล่นฟุตบอลกับเพื่อนเพื่อน ในสนามหญ้า และฝึกซ้อมอย่างสม่ำเสมอ,Little brother likes to play football with friends on the lawn and practices regularly.
คุณครูคณิตศาสตร์สอนให้เราคิดอย่างมีเหตุผล และแก้โจทย์ปัญหาอย่างเป็นขั้นตอน,The mathematics teacher teaches us to think logically and solve problems step by step.
แม่ค้าที่ขายอาหารตามสั่งมักจะปรุงอาหารสดใหม่ และใส่ใจในรสชาติ,The food vendor who sells made-to-order dishes usually cooks fresh food and pays attention to taste.
คุณยายชอบสอนหลานหลาน ทำอาหารไทยโบราณ และเล่าเรื่องราวสมัยก่อน,Grandmother likes to teach grandchildren how to cook traditional Thai food and tells stories from the past.
แม่มักจะสอนให้เรารู้จักประหยัดน้ำประหยัดไฟ เพื่อรักษาสิ่งแวดล้อม,Mother often teaches us to save water and electricity to protect the environment.
คุณป้าที่ขายผลไม้มักจะแนะนำผลไม้ตามฤดูกาล และบอกวิธีการเลือกผลไม้ที่สุก,The aunt who sells fruits usually recommends seasonal fruits and tells how to choose ripe ones.
พ่อชอบอ่านหนังสือพิมพ์ในตอนเช้า และเล่าข่าวสารให้ครอบครัวฟัง,Father likes to read newspapers in the morning and tells the news to the family.
น้องสาวชอบช่วยแม่ทำอาหาร และเรียนรู้วิธีการทำอาหารไทย,Little sister likes to help mother cook and learns how to make Thai food.
คุณครูวิทยาศาสตร์สอนให้เรารู้จักสังเกตธรรมชาติ และทำการทดลองอย่างปลอดภัย,The science teacher teaches us to observe nature and conduct experiments safely.
พี่ชายชอบเล่นดนตรีในสวนหลังบ้าน และเพื่อนบ้านก็ชื่นชอบเสียงเพลง,"Big brother likes to play music in the backyard garden, and the neighbors enjoy the music."
คุณตาชอบเลี้ยงปลาสวยงามในบ่อ และคอยดูแลความสะอาดของน้ำอย่างสม่ำเสมอ,Grandfather likes to keep beautiful fish in the pond and regularly maintains water cleanliness.
แม่มักจะสอนให้เรารู้จักมูลค่าของเงิน และวิธีการใช้จ่ายอย่างรู้คุณค่า,Mother often teaches us the value of money and how to spend wisely.
คุณลุงที่แผงขายอาหารตามสั่งใจดีมาก และมักจะเพิ่มผักให้ลูกค้าเสมอ,The uncle at the made-to-order food stall is very kind and always adds extra vegetables for customers.
พ่อชอบพาครอบครัวไปท่องเที่ยวต่างจังหวัด และสอนให้เรารู้จักวัฒนธรรมท้องถิ่น,Father likes to take the family on upcountry trips and teaches us about local cultures.
น้องชายชอบช่วยพ่อล้างรถในวันหยุด และทำด้วยความตั้งใจ,Little brother likes to help father wash the car on holidays and does it attentively.
แม่ค้าที่ขายผักในตลาดมักจะคัดผักสดใหม่ และจัดเรียงอย่างสวยงาม,The vegetable vendor at the market usually selects fresh vegetables and arranges them beautifully.
พี่สาวชอบอ่านนิทานให้น้องฟังก่อนนอน และแสดงท่าทางประกอบเรื่องราว,Big sister likes to read bedtime stories to younger siblings and acts out the stories.
เพื่อนบ้านของเราชอบจัดสวนหย่อม และปลูกไม้ดอกไม้ประดับหลากหลายชนิด,Our neighbors like to arrange garden landscapes and grow various ornamental plants.
แม่มักจะสอนให้เรารู้จักกตัญญูต่อผู้มีพระคุณ และช่วยเหลือผู้อื่นตามกำลัง,Mother often teaches us to be grateful to benefactors and help others within our ability.
คุณป้าที่ขายก๋วยเตี๋ยวมักจะปรุงรสชาติอร่อย และใส่ผักสดเยอะเยอะ,The aunt who sells noodles usually seasons them deliciously and adds lots of fresh vegetables.
พ่อชอบสอนให้เรารู้จักซ่อมแซมของใช้ในบ้าน และดูแลรักษาอุปกรณ์ต่างต่าง อย่างดี,Father likes to teach us how to repair household items and maintain equipment well.
น้องสาวชอบช่วยแม่จัดโต๊ะอาหาร และทำด้วยความประณีตทุกครั้ง,Little sister likes to help mother set the dining table and does it meticulously every time.
คุณครูภาษาอังกฤษสอนให้เราฝึกพูดทุกวัน และจัดกิจกรรมที่สนุกสนาน,The English teacher has us practice speaking every day and organizes fun activities.
คุณตาชอบเล่าประวัติศาสตร์ท้องถิ่น และพาหลานหลาน ไปเที่ยวสถานที่สำคัญ,Grandfather likes to tell local history and takes grandchildren to visit important places.
เพื่อนบ้านของเราชอบทำอาหารพื้นบ้าน และมักจะเชิญเราไปรับประทานด้วยกัน,Our neighbors like to cook local food and often invite us to eat together.
คุณลุงที่ร้านซ่อมรถใจดีมาก และสอนวิธีดูแลรักษารถให้ลูกค้าเสมอ,The uncle at the car repair shop is very kind and always teaches customers how to maintain their cars.
พ่อชอบพาครอบครัวไปเที่ยวตลาดน้ำในวันหยุด และเล่าประวัติความเป็นมาให้ฟัง,Father likes to take the family to floating markets on holidays and tells us about their history.
คุณครูวิทยาศาสตร์สอนให้เรารักษาสิ่งแวดล้อม และทำโครงงานเกี่ยวกับการรีไซเคิล,The science teacher teaches us to protect the environment and do projects about recycling.
พี่สาวชอบทำขนมในวันหยุด และทดลองทำสูตรใหม่ใหม่ อยู่เสมอ,Big sister likes to make desserts on holidays and always tries new recipes.
คุณยายชอบสอนหลานหลาน ทำอาหารไทย และเล่าเรื่องราวความเป็นมาของอาหารแต่ละชนิด,Grandmother likes to teach grandchildren how to cook Thai food and tells the history of each dish.
เพื่อนบ้านของเราชอบปลูกไม้ดอกหอม และแบ่งปันดอกไม้ให้เพื่อนบ้านเสมอ,Our neighbors like to grow fragrant flowers and always share flowers with neighbors.
คุณป้าที่ขายขนมไทยทำขนมอร่อยมาก และรักษาสูตรโบราณไว้อย่างดี,The aunt who sells Thai desserts makes very delicious snacks and preserves traditional recipes well.
พ่อชอบพาเราไปเที่ยวชมพิพิธภัณฑ์ และอธิบายประวัติศาสตร์ให้ฟัง,Father likes to take us to museums and explains history to us.
น้องสาวชอบช่วยแม่จัดดอกไม้ และเรียนรู้การจัดดอกไม้แบบไทย,Little sister likes to help mother arrange flowers and learns Thai flower arrangement.
คุณครูดนตรีสอนให้เราเล่นเครื่องดนตรีไทย และเข้าใจคุณค่าของดนตรีไทย,The music teacher teaches us to play Thai instruments and understand the value of Thai music.
คุณตาชอบทำเครื่องจักสานไทย และสอนวิธีการสานให้ลูกหลาน,Grandfather likes to make Thai wickerwork and teaches weaving methods to children and grandchildren.
เพื่อนบ้านของเราชอบทำน้ำสมุนไพร และแบ่งปันให้เพื่อนบ้านดื่ม,Our neighbors like to make herbal drinks and share them with neighbors.
แม่มักจะสอนให้เรารู้จักใช้สมุนไพรไทย และวิธีการดูแลสุขภาพแบบธรรมชาติ,Mother often teaches us about Thai herbs and natural health care methods.
คุณลุงที่สวนผลไม้ใจดีมาก และสอนวิธีการดูแลต้นไม้ให้ออกผลดก,The uncle at the fruit garden is very kind and teaches how to care for trees to yield abundant fruit.
พ่อชอบพาครอบครัวไปทำบุญที่วัดในวันพระ และสอนให้เรารู้จักประเพณีไทย,Father likes to take the family to make merit at temples on Buddhist holy days and teaches us about Thai traditions.
น้องชายชอบช่วยพ่อทำสวน และเรียนรู้การเพาะปลูกแบบธรรมชาติ,Little brother likes to help father garden and learns natural farming methods.
พี่สาวชอบร้องเพลงไทยเดิม และฝึกซ้อมอย่างสม่ำเสมอ,Big sister likes to sing traditional Thai songs and practices regularly.
คุณยายชอบทอผ้าไทย และสอนลวดลายโบราณให้ลูกหลาน,Grandmother likes to weave Thai fabric and teaches traditional patterns to children and grandchildren.
เพื่อนบ้านของเราชอบปลูกผักสวนครัว และทำปุ๋ยหมักใช้เอง,Our neighbors like to grow kitchen vegetables and make their compost.
คุณป้าที่ร้านขายยาสมุนไพรใจดีมาก และให้คำแนะนำเรื่องการใช้สมุนไพร,The aunt at the herbal medicine shop is very kind and advises about using herbs.
เมื่อคุณเดินทางไปต่างประเทศ คุณควรเตรียมพาสปอร์ตให้พร้อม,"When traveling abroad, you should have your passport ready."
ถ้าคุณต้องการความช่วยเหลือในการทำอาหาร ฉันยินดีจะสอนคุณ,"If you need help with cooking, I would be happy to teach you."
เธอชอบดูหนังแนวแอคชั่น แต่ฉันชอบดูหนังตลกมากกว่า,"She likes action movies, but I prefer watching comedies."
ขณะที่เราเดินซื้อของในห้าง เราได้พบเพื่อนเก่าโดยบังเอิญ,"While shopping at the mall, we accidentally ran into an old friend."
เมื่อวานนี้ฉันไปหาหมอฟัน เพราะปวดฟันมาหลายวันแล้ว,Yesterday I went to see the dentist because my tooth had been hurting for several days.
พี่สาวของฉันชอบทำอาหารไทย โดยเฉพาะต้มยำกุ้งและผัดไทย,"My older sister loves cooking Thai food, especially Tom Yum Kung and Pad Thai."
เพื่อนของฉันชอบเล่นดนตรี โดยเฉพาะกีตาร์และเปียโน,"My friend loves playing music, particularly guitar and piano."
ขณะที่เธอกำลังอ่านหนังสือ น้องชายก็วิ่งเข้ามาในห้อง,"While she was reading a book, her younger brother ran into the room."
พ่อของฉันชอบดูข่าว แต่แม่ชอบดูละครมากกว่า,"My father likes watching news, but my mother prefers watching dramas."
ถ้าคุณต้องการความช่วยเหลือ คุณสามารถโทรหาฉันได้ตลอดเวลา,"If you need help, you can call me anytime."
แม้ว่าอาหารจะแพง แต่คุณภาพก็คุ้มค่ากับราคา,"Although the food is expensive, the quality is worth the price."
เมื่อเช้านี้รถติดมาก เพราะมีอุบัติเหตุบนถนน,This morning traffic was heavy because there was an accident on the road.
หลังจากทำงานเสร็จ ฉันจะไปออกกำลังกายที่สวนสาธารณะ,"After finishing work, I will go exercise at the park."
เพื่อนของฉันชอบถ่ายรูป โดยเฉพาะภาพธรรมชาติและสัตว์,"My friend loves taking photos, especially of nature and animals."
ขณะที่เราทานอาหารกลางวัน เพื่อนร่วมงานก็เล่าเรื่องตลก,"While we were having lunch, our colleague told funny stories."
แม้ว่าวันนี้จะเป็นวันหยุด แต่ฉันต้องทำงานที่บ้าน,"Even though today is a holiday, I have to work from home."
เมื่อฉันกลับถึงบ้าน น้องสาวกำลังทำการบ้านอยู่,"When I got home, my younger sister was doing homework."
หลังจากดูหนัง เราไปทานไอศกรีมด้วยกัน,"After watching the movie, we went to eat ice cream together."
พี่ชายของฉันชอบเล่นกีฬา โดยเฉพาะฟุตบอลและบาสเกตบอล,"My older brother loves playing sports, especially football and basketball."
ขณะที่ฝนตก เด็กเด็กก็วิ่งเล่นในบ้าน,"While it was raining, the children romped inside the house."
แม้ว่าจะเป็นวันจันทร์ แต่การจราจรก็ไม่ติดขัด,"Although it is Monday, the traffic is not congested."
เมื่อเราไปถึงร้านอาหาร คนก็เยอะมาก,"When we arrived at the restaurant, it was very crowded."
หลังจากเลิกงาน ฉันไปซื้อของที่ซูเปอร์มาร์เก็ต,"After work, I went shopping at the supermarket."
ถึงแม้ว่าจะอยู่ไกล แต่เราก็ติดต่อกันได้ทางโทรศัพท์,"Even though we are far apart, we can stay in touch by phone."
เพื่อนของฉันชอบทำขนม โดยเฉพาะเค้กและคุกกี้,"My friend loves baking, especially cakes and cookies."
ขณะที่เธอทำอาหาร ลูกชายก็ช่วยล้างผัก,"While she was cooking, her son helped wash the vegetables."
แม้ว่าจะเป็นฤดูร้อน แต่อากาศก็เย็นสบาย,"Although it is summer, the weather is pleasantly cool."
หลังจากเรียนจบ ฉันอยากทำงานที่ต่างประเทศ,"After graduating, I want to work abroad."
พี่สาวของฉันชอบอ่านหนังสือ โดยเฉพาะนิยายและการ์ตูน,"My older sister loves reading, especially novels and comics."
ขณะที่เราคุยกัน เวลาก็ผ่านไปเร็วมาก,"While we were talking, time passed very quickly."
เมื่อถึงวันหยุด ฉันชอบนอนตื่นสาย,"When it is a holiday, I like to sleep in."
ถึงแม้ว่าจะไม่ชอบผัก แต่ฉันก็พยายามทานเพื่อสุขภาพ,"Although I do not like vegetables, I try to eat them for health."
เพื่อนของฉันชอบเที่ยวกลางคืน แต่ฉันชอบอยู่บ้านมากกว่า,"My friend loves going out at night, but I prefer staying home."
ขณะที่ฉันทำงาน แมวก็นอนอยู่ข้างข้าง,"While I work, my cat sleeps beside me."
แม้ว่าจะอายุมาก แต่คุณยายก็ยังแข็งแรง,"Although she is elderly, the grandmother is still strong."
ถ้าฝนไม่ตก เราจะไปเที่ยวทะเลกัน,"If it does not rain, we will go to the beach."
หลังจากดูซีรี่ส์จบ ฉันรู้สึกใจหาย,"After finishing the series, I felt empty inside."
พี่ชายของฉันชอบเล่นเกม โดยเฉพาะเกมแนวผจญภัย,"My older brother loves playing games, especially adventure games."
ขณะที่เราเดินเล่น ลมก็พัดเย็นสบาย,"While we were walking, the breeze was pleasantly cool."
แม้ว่าจะเป็นร้านเล็กเล็ก แต่อาหารก็อร่อยมาก,"Although it is a small restaurant, the food is very delicious."
เมื่อถึงเวลาพัก ฉันชอบฟังเพลง,"When it is break time, I like listening to music."
หลังจากอ่านหนังสือจบ ฉันรู้สึกประทับใจมาก,"After finishing the book, I was very impressed."
เพื่อนของฉันชอบทำอาหาร โดยเฉพาะอาหารอิตาเลียน,"My friend loves cooking, especially Italian food."
ตอนที่เธอร้องเพลงจบ ทุกคนก็ปรบมือ,"When she finished singing, Everyone applauded."
แม้ว่าจะอยู่ต่างประเทศ แต่ฉันก็คิดถึงบ้านเสมอ,"Although I am abroad, I always miss home."
หลังจากทานข้าวเสร็จ อย่าลืมล้างจาน,"After finishing your meal, do not forget to wash the dishes."
ถึงแม้ว่าจะเหนื่อย แต่ฉันก็ยังอยากเรียนต่อ,"Although I am tired, I still want to continue studying."
พี่สาวของฉันชอบวาดรูป โดยเฉพาะภาพเหมือน,"My older sister loves drawing, especially portraits."
ขณะที่เราดูทีวี ไฟก็ดับ,"While we were watching TV, the power went out."
เพื่อนของฉันชอบถ่ายรูปดอกไม้ในสวนสาธารณะ,My friend loves taking photos of flowers in the park.
ขณะที่ฉันทำงาน เพื่อนร่วมงานก็ชวนไปทานข้าว,"While I was working, my colleague invited me to lunch."
เมื่อฉันทำอาหารเสร็จ ครอบครัวก็มารวมตัวกันที่โต๊ะ,"When I finished cooking, the family gathered at the table."
หลังจากดูคอนเสิร์ต ฉันรู้สึกมีความสุขมาก,"After watching the concert, I felt very happy."
ถึงแม้ว่าจะอ่อนเพลีย แต่ฉันก็ต้องทำงานให้เสร็จ,"Despite being tired, I have to finish my work."
พี่สาวของฉันชอบเต้น โดยเฉพาะเต้นบัลเลต์,"My older sister loves dancing, especially ballet."
ขณะที่เราเดินในสวน นกก็บินมาเกาะต้นไม้,"While we walked in the garden, birds flew to perch on trees."
แม้ว่าจะเป็นหน้าหนาว แต่อากาศก็ไม่หนาวมาก,"Although it is winter, it is not very cold."
ถ้าคุณชอบดนตรี คุณควรลองเล่นเครื่องดนตรี,"If you like music, you should try playing an instrument."
เมื่อถึงเวลานอน เด็กเด็กก็เข้านอนตรงเวลา,"When bedtime comes, the children go to bed on time."
หลังจากทำความสะอาดบ้าน ฉันรู้สึกเหนื่อยมาก,"After cleaning the house, I felt very tired."
ถึงแม้ว่าจะไม่ถนัด แต่ฉันก็อยากลองทำอาหาร,"Even though I am not skilled at it, I want to try cooking."
เพื่อนของฉันชอบปลูกต้นไม้ โดยเฉพาะดอกกุหลาบ,"My friend loves growing plants, especially roses."
ขณะที่เราคุยโทรศัพท์ แบตเตอรี่ก็หมด,"While we were talking on the phone, the battery died."
แม้ว่าจะไม่ชอบการบ้าน แต่ฉันก็ต้องทำให้เสร็จ,"Although I do not like homework, I have to finish it."
ถ้าคุณมีปัญหา คุณสามารถปรึกษาฉันได้,"If you have problems, you can consult with me."
เมื่อฉันได้รับข่าวดี ฉันรีบโทรบอกครอบครัว,"When I received good news, I quickly called my family."
หลังจากดูภาพยนตร์จบ เราก็คุยกันถึงตอนจบ,"After finishing the movie, we discussed the ending."
พี่ชายของฉันชอบทำงานศิลปะ โดยเฉพาะงานปั้น,"My older brother loves doing art, especially sculpture."
แม้ว่าจะเป็นมือใหม่ แต่เธอก็ทำได้ดีมาก,"Although she is a beginner, she is doing very well."
เมื่อถึงวันเกิด ฉันชอบทำอาหารให้ครอบครัว,"When it is my birthday, I like cooking for my family."
หลังจากเลิกเรียน ฉันไปซ้อมดนตรีกับเพื่อน,"After school, I practice music with friends."
ถึงแม้ว่าจะไม่ชำนาญ แต่ฉันก็พยายามช่วย,"Even though I am not experienced, I try to help."
เพื่อนของฉันชอบร้องเพลง โดยเฉพาะเพลงป็อป,"My friend loves singing, especially pop songs."
แม้ว่าจะเป็นวันธรรมดา แต่ร้านอาหารก็เต็ม,"Although it is a weekday, the restaurant is full."
เมื่อฉันเห็นรูปเก่า ฉันคิดถึงความหลัง,"When I see old photos, I think of the past."
หลังจากวิ่งเสร็จ ฉันดื่มน้ำเยอะมาก,"After running, I drink a lot of water."
ถึงแม้ว่าจะไม่ค่อยว่าง แต่ฉันก็พยายามออกกำลังกาย,"Although I am not very free, I try to exercise."
พี่สาวของฉันชอบแต่งหน้า โดยเฉพาะการทาลิปสติก,"My older sister loves doing makeup, especially applying lipstick."
ขณะที่เราเดินทาง เราได้เห็นวิวสวยสวย,"While we traveled, we saw beautiful views."
แม้ว่าจะเป็นงานยาก แต่ฉันก็สนุกกับมัน,"Although it is difficult work, I enjoy it."
ถ้าคุณตั้งใจ คุณจะทำได้แน่นอน,"If you are determined, you will surely succeed."
หลังจากเรียนพิเศษ ฉันจะทำการบ้านให้เสร็จ,"After tutoring, I will finish my homework."
เพื่อนของฉันชอบเล่นกีฬา โดยเฉพาะว่ายน้ำ,"My friend loves playing sports, especially swimming."
ถ้าคุณมีเวลาว่างช่วงบ่าย เราไปดื่มกาแฟที่ร้านใหม่กันเถอะ,"If you have free time this afternoon, let's go have coffee at the new shop."
เมื่อวานนี้ฉันเห็นหนังสือที่คุณชอบลดราคาที่ร้านหนังสือ,Yesterday I saw the book you like on sale at the bookstore.
เราไม่ได้เจอกันนานเลย คุณสบายดีไหมครับ?,We have not seen each other for a long time. How have you been?
หลังจากที่ฝนหยุดตก เราควรออกไปซื้อของที่ตลาดไหม?,"After the rain stops, should we go shopping at the market?"
ฉันกำลังคิดว่าจะเรียนภาษาต่างประเทศเพิ่มเติม คุณมีคำแนะนำไหม?,I am thinking of learning another foreign language. Do you have any suggestions?
คืนนี้มีดาวตก เราน่าจะออกไปดูด้วยกันนะ,There are shooting stars tonight. We should go out and watch them together.
พรุ่งนี้ฉันว่าง คุณอยากไปเที่ยวพิพิธภัณฑ์ด้วยกันไหม?,I am free tomorrow. Would you like to visit the museum together?
อาหารที่ร้านนี้อร่อยมาก แต่ราคาแพงนิดหน่อย คุณโอเคไหม?,The food at this restaurant is very good but a bit pricey. Are you okay with that?
ฉันคิดว่าภาพยนตร์เรื่องนี้น่าสนใจ แต่บางคนอาจจะไม่ชอบ,"I think this movie is interesting, but some people might not like it."
ถ้าเราตื่นเช้า เราจะไปถึงสถานีรถไฟตรงเวลาแน่นอน,"If we wake up early, we will arrive at the train station on time."
ฉันลืมนำร่มมา ฝนก็ตกหนัก เราจะทำอย่างไรดี?,"I forgot to bring an umbrella, and it is raining heavily. What should we do?"
คุณอาจจะไม่เชื่อ แต่ฉันพบกระเป๋าที่หายไปแล้ว!,"You might not believe it, but I found the lost bag!"
ถ้าเราไม่รีบออกตอนนี้ เราอาจจะพลาดการแสดงที่เริ่มตอนสองโมง,"If we do not leave now, we might miss the show that starts at two PM."
หลังจากที่เราเสร็จงานนี้ เราควรฉลองด้วยอาหารเย็นดีดี สักมื้อ,"After we finish this job, we should celebrate with a good dinner."
คุณเคยลองเล่นกีฬาทางน้ำบ้างไหม มันสนุกมากเลยนะ,Have you ever tried water sports? It is really fun.
ถ้าฝนไม่ตก เราจะไปปีนเขากันในวันหยุดสุดสัปดาห์นี้,"If it does not rain, we will go hiking this weekend."
ฉันเพิ่งได้รับข่าวดีว่าได้เลื่อนตำแหน่งในที่ทำงาน,I just received the good news that I got a promotion at work.
คุณคิดอย่างไรเกี่ยวกับการเปลี่ยนแปลงสภาพภูมิอากาศที่เกิดขึ้น?,What do you think about the climate changes that are happening?
ถึงแม้ว่าอาหารร้านนี้จะเผ็ด แต่ก็อร่อยมากนะ คุณต้องลอง,"Even though the food at this restaurant is spicy, it is very delicious. You have to try it."
เราควรจองตั๋วภาพยนตร์ออนไลน์เพื่อหลีกเลี่ยงคิวที่ยาว,We should book movie tickets online to avoid the long queues.
อย่าลืมนำเสื้อกันหนาวมาด้วย เพราะอากาศเย็นขึ้นแล้ว,Do not forget to bring a sweater because it is getting colder.
เมื่อถึงเวลาที่เหมาะสม ฉันจะบอกคุณเกี่ยวกับแผนของฉัน,"When the time is right, I will tell you about my plans."
ถ้าเราลองพยายามอีกครั้ง ฉันเชื่อว่าเราจะทำได้สำเร็จ,"If we try again, I believe we can succeed."
คุณอยากทานอะไรเป็นพิเศษสำหรับมื้อค่ำคืนนี้ไหม?,Do you want anything special for dinner tonight?
คุณได้ยินข่าวเกี่ยวกับคอนเสิร์ตใหญ่ที่จะมาถึงหรือยัง?,Have you heard the news about the big upcoming concert?
หลังจากที่ฝึกซ้อมมาอย่างหนัก ทีมของเราก็ชนะการแข่งขัน,"After intensive practice, our team won the competition."
คุณสนใจที่จะเข้าร่วมกิจกรรมอาสาสมัครกับเราสุดสัปดาห์นี้ไหม?,Are you interested in joining us for volunteer activities this weekend?
ฉันชอบไปเที่ยวทะเล เพราะมันทำให้ฉันรู้สึกสดชื่น,I like going to the beach because it makes me feel refreshed.
ฉันเพิ่งเริ่มเรียนโยคะ และมันช่วยให้ฉันมีสมาธิมากขึ้น,"I just started practicing yoga, and it helps me focus more."
เราควรนัดพบกันที่ร้านกาแฟในวันพรุ่งนี้เพื่อพูดคุยรายละเอียด,We should meet at the coffee shop tomorrow to discuss the details.
ถ้าคุณไม่ชอบภาพยนตร์เรื่องนี้ เราสามารถเลือกเรื่องอื่นได้,"If you do not like this movie, we can choose another one."
คุณเคยลองอาหารเม็กซิกันไหม มันเผ็ดแต่รสชาติอร่อยมาก,Have you ever tried Mexican food? It is spicy but very tasty.
ถ้าเรามีโอกาส ฉันอยากไปเยี่ยมชมพิพิธภัณฑ์ศิลปะที่มีชื่อเสียง,"If we have the chance, I would like to visit the famous art museum."
ฉันคิดว่าการพักผ่อนเป็นสิ่งสำคัญหลังจากทำงานหนักมาทั้งวัน,I think resting is important after working hard all day.
เราสามารถเริ่มต้นโครงการนี้ได้ทันทีที่ได้รับอนุมัติ,We can start this project as soon as we receive approval.
ฉันเพิ่งได้รับอีเมลแจ้งว่าแพ็คเกจของเราจะมาถึงพรุ่งนี้,I just received an email that our package will arrive tomorrow.
หลังจากที่ได้ฟังคำแนะนำของคุณ ฉันรู้สึกมั่นใจมากขึ้น,"After listening to your advice, I feel more confident."
คุณคิดอย่างไรถ้าเราจะเริ่มโครงการใหม่ในเดือนหน้า?,What do you think if we start a new project next month?
ฉันเพิ่งพบร้านอาหารที่เสิร์ฟอาหารมังสวิรัติอร่อยมาก,I just found a restaurant that serves very delicious vegetarian food.
คุณมีแผนที่จะไปเที่ยวที่ไหนในช่วงวันหยุดปีใหม่หรือเปล่า?,Do you have any plans to travel somewhere during the New Year holidays?
คุณได้อ่านหนังสือเล่มใหม่ของนักเขียนคนโปรดหรือยัง?,Have you read the new book by your favorite author?
ฉันคิดว่าเราควรพักผ่อนและสนุกกับช่วงเวลานี้ให้เต็มที่,I think we should relax and enjoy this moment to the fullest.
ฉันตื่นเต้นที่จะได้เรียนรู้ทักษะใหม่ใหม่ ที่จะช่วยในการทำงาน,I am excited to learn new skills that will help at work.
ถ้าเราจัดการเวลาอย่างมีประสิทธิภาพ เราจะมีเวลาพักผ่อนมากขึ้น,"If we manage our time efficiently, we will have more time to relax."
คุณคิดอย่างไรเกี่ยวกับการเข้าร่วมกิจกรรมวิ่งการกุศลด้วยกัน?,What do you think about joining a charity run together?
ฉันเพิ่งเริ่มเรียนเล่นกีตาร์ และมันท้าทายมากแต่สนุก,"I just started learning guitar, and it is challenging but fun."
เราสามารถแบ่งปันประสบการณ์และความรู้เพื่อพัฒนาทีมได้,We can share experiences and knowledge to develop the team.
ถ้าคุณสนใจ ฉันสามารถแนะนำครูสอนภาษาที่เก่งมากให้คุณได้,"If you are interested, I can recommend a very good language teacher to you."
ฉันรู้สึกประทับใจในความทุ่มเทและความมุ่งมั่นของคุณ,I am impressed by your dedication and commitment.
เราควรติดตามข่าวสารอย่างสม่ำเสมอเพื่อไม่พลาดข้อมูลสำคัญ,We should keep up with the news regularly to not miss important information.
คุณอยากลองทำอาหารสูตรใหม่ที่ฉันพบในหนังสือไหม?,Would you like to try a new recipe I found in a book?
ถ้าเราเปิดใจเรียนรู้สิ่งใหม่ใหม่ เราจะเติบโตขึ้น,"If we open our minds to learn new things, we will grow tremendously."
ฉันดีใจที่ได้พบคุณในงานประชุมเมื่อวานนี้,I am glad to have met you at the conference yesterday.
