thai sentence,english sentence
น้องสาวชอบช่วยแม่ล้างจานหลังอาหารเย็น และมักจะร้องเพลงไปด้วยอย่างมีความสุข,Little sister likes to help mother wash dishes after dinner and often sings happily while doing it
คุณครูวิทยาศาสตร์สอนให้เรารู้จักสังเกตธรรมชาติ และทำการทดลองอย่างระมัดระวัง,The science teacher teaches us to observe nature and conduct experiments carefully
แม่ค้าที่ขายผลไม้มักจะคัดเลือกผลไม้อย่างดี แต่ขายในราคาที่เป็นธรรม,The fruit vendor carefully selects fruits but sells them at fair prices
พี่สาวชอบอ่านหนังสือใต้ต้นไม้ใหญ่ในสวน และบางครั้งก็อ่านให้น้องๆ ฟัง,Big sister likes to read books under the big tree in the garden and sometimes reads to younger siblings
คุณตาชอบเล่าเรื่องประวัติศาสตร์ให้หลานๆ ฟัง และทุกคนก็ตั้งใจฟังเรื่องราวของท่าน,"Grandfather likes to tell historical stories to his grandchildren, and everyone listens attentively to his tales"
เพื่อนบ้านของเราชอบทำอาหารไทยโบราณ และมักจะแบ่งปันให้เราชิมเสมอ,Our neighbors like to make traditional Thai food and often share some with us to taste
แม่มักจะสอนให้เรารู้จักมารยาทในการรับประทานอาหาร และการวางตัวในที่สาธารณะ,Mother often teaches us table manners and how to behave in public
คุณลุงที่ร้านขายของเก่าใจดีมาก และชอบเล่าเรื่องราวของสิ่งของแต่ละชิ้น,The uncle at the antique shop is very kind and likes to tell stories about each item
พ่อชอบพาครอบครัวไปรับประทานอาหารนอกบ้านในวันหยุด และเลือกร้านที่มีบรรยากาศดี,Father likes to take the family out to eat on holidays and chooses restaurants with good atmosphere
น้องชายชอบวาดรูปการ์ตูนในสมุด และมักจะให้เพื่อนๆ ยืมไปดู,Little brother likes to draw cartoons in his notebook and often lets his friends borrow it to look at
แม่ค้าที่ขายผักในตลาดมักจะแนะนำวิธีการเลือกผักที่สดใหม่,The vegetable vendor at the market often suggests how to choose fresh vegetables
พี่สาวมักจะช่วยสอนการบ้านน้องๆ และอธิบายอย่างใจเย็นเมื่อน้องไม่เข้าใจ,Big sister often helps younger siblings with homework and explains patiently when they don't understand
คุณยายชอบนั่งสวดมนต์ในตอนเช้า และสอนให้หลานๆ รู้จักทำความดี,Grandmother likes to chant prayers in the morning and teaches grandchildren to do good deeds
เพื่อนบ้านของเราชอบเลี้ยงนกสวยงาม และเสียงร้องของนกทำให้บรรยากาศสดชื่น,"Our neighbors like to keep beautiful birds, and the birds' singing makes the atmosphere refreshing"
คุณป้าที่ขายขนมหวานมักจะยิ้มแย้มแจ่มใส และใส่ใจในความสะอาด,The aunt who sells desserts always smiles brightly and pays attention to cleanliness
พ่อมักจะสอนให้เรารู้จักรับผิดชอบต่อหน้าที่ และทำการบ้านให้เสร็จก่อนไปเล่น,Father often teaches us to be responsible for our duties and finish homework before playing
น้องสาวชอบช่วยแม่รดน้ำต้นไม้ในตอนเย็น และคอยเก็บใบไม้ที่ร่วงหล่น,Little sister likes to help mother water the plants in the evening and picks up fallen leaves
คุณครูศิลปะสอนให้เราใช้จินตนาการในการวาดภาพ และชื่นชมผลงานของทุกคน,The art teacher teaches us to use imagination in drawing and appreciates everyone's work
แม่ค้าที่ร้านขายของชำมักจะจัดของให้เป็นระเบียบ และติดป้ายราคาชัดเจน,The shopkeeper at the grocery store usually organizes items neatly and displays clear price tags
พี่ชายชอบเล่นดนตรีในห้องนอน และฝึกซ้อมอย่างขยันขันแข็ง,Big brother likes to play music in his bedroom and practices diligently
คุณตาชอบดูแลสวนผักหลังบ้าน และมักจะชวนหลานๆ มาช่วยงาน,Grandfather likes to take care of the vegetable garden behind the house and often invites grandchildren to help
เพื่อนบ้านของเราชอบทำขนมไทยโบราณ และสอนลูกหลานให้สืบทอดวิธีการทำ,Our neighbors like to make traditional Thai desserts and teach their children and grandchildren to preserve the methods
แม่มักจะสอนให้เรารู้จักแบ่งปันของเล่นกับเพื่อน และเล่นด้วยกันอย่างสามัคคี,Mother often teaches us to share toys with friends and play together harmoniously
คุณลุงที่ร้านซ่อมรถจักรยานใจดีมาก และมักจะคิดค่าซ่อมในราคาย่อมเยา,The uncle at the bicycle repair shop is very kind and usually charges reasonable prices for repairs
พ่อชอบพาครอบครัวไปเดินเล่นในสวนสาธารณะ และสอนให้เรารู้จักต้นไม้ชนิดต่างๆ,Father likes to take the family for walks in the park and teaches us about different types of trees
น้องชายชอบเล่นฟุตบอลกับเพื่อนๆ ในสนามหญ้า และฝึกซ้อมอย่างสม่ำเสมอ,Little brother likes to play football with friends on the lawn and practices regularly
คุณครูคณิตศาสตร์สอนให้เราคิดอย่างมีเหตุผล และแก้โจทย์ปัญหาอย่างเป็นขั้นตอน,The mathematics teacher teaches us to think logically and solve problems step by step
แม่ค้าที่ขายอาหารตามสั่งมักจะปรุงอาหารสดใหม่ และใส่ใจในรสชาติ,The food vendor who sells made-to-order dishes usually cooks fresh food and pays attention to taste
พี่สาวชอบช่วยแม่ทำความสะอาดบ้านในวันหยุด และจัดของให้เป็นระเบียบ,Big sister likes to help mother clean the house on holidays and organizes things neatly
คุณยายชอบสอนหลานๆ ทำอาหารไทยโบราณ และเล่าเรื่องราวสมัยก่อน,Grandmother likes to teach grandchildren how to cook traditional Thai food and tells stories from the past
แม่มักจะสอนให้เรารู้จักประหยัดน้ำประหยัดไฟ และรักษาสิ่งแวดล้อม,Mother often teaches us to save water and electricity and protect the environment
คุณป้าที่ขายผลไม้มักจะแนะนำผลไม้ตามฤดูกาล และบอกวิธีการเลือกผลไม้ที่สุก,The aunt who sells fruits usually recommends seasonal fruits and tells how to choose ripe ones
พ่อชอบอ่านหนังสือพิมพ์ในตอนเช้า และเล่าข่าวสารให้ครอบครัวฟัง,Father likes to read newspapers in the morning and tells news to the family
น้องสาวชอบช่วยแม่ทำอาหาร และเรียนรู้วิธีการทำอาหารไทย,Little sister likes to help mother cook and learns how to make Thai food
คุณครูวิทยาศาสตร์สอนให้เรารู้จักสังเกตธรรมชาติ และทำการทดลองอย่างปลอดภัย,The science teacher teaches us to observe nature and conduct experiments safely
แม่ค้าที่ร้านขายของชำมักจะจดจำลูกค้าประจำได้ และทักทายอย่างเป็นกันเอง,The shopkeeper at the grocery store usually remembers regular customers and greets them warmly
พี่ชายชอบเล่นดนตรีในสวนหลังบ้าน และเพื่อนบ้านก็ชื่นชอบเสียงเพลง,"Big brother likes to play music in the backyard garden, and neighbors enjoy the music"
คุณตาชอบเลี้ยงปลาสวยงามในบ่อ และคอยดูแลความสะอาดของน้ำอย่างสม่ำเสมอ,Grandfather likes to keep beautiful fish in the pond and regularly maintains water cleanliness
แม่มักจะสอนให้เรารู้จักมูลค่าของเงิน และวิธีการใช้จ่ายอย่างรู้คุณค่า,Mother often teaches us the value of money and how to spend wisely
คุณลุงที่ร้านขายอาหารตามสั่งใจดีมาก และมักจะเพิ่มผักให้ลูกค้าเสมอ,The uncle at the made-to-order food stall is very kind and always adds extra vegetables for customers
พ่อชอบพาครอบครัวไปท่องเที่ยวต่างจังหวัด และสอนให้เรารู้จักวัฒนธรรมท้องถิ่น,Father likes to take the family on upcountry trips and teaches us about local cultures
น้องชายชอบช่วยพ่อล้างรถในวันหยุด และทำด้วยความตั้งใจ,Little brother likes to help father wash the car on holidays and does it attentively
คุณครูศิลปะสอนให้เราผสมสีอย่างสร้างสรรค์ และใช้จินตนาการในการวาดภาพ,The art teacher teaches us to mix colors creatively and use imagination in drawing
แม่ค้าที่ขายผักในตลาดมักจะคัดผักสดใหม่ และจัดเรียงอย่างสวยงาม,The vegetable vendor at the market usually selects fresh vegetables and arranges them beautifully
พี่สาวชอบอ่านนิทานให้น้องฟังก่อนนอน และแสดงท่าทางประกอบเรื่องราว,Big sister likes to read bedtime stories to younger siblings and acts out the stories
คุณยายชอบทำขนมไทยโบราณ และสอนวิธีการทำให้ลูกหลาน,Grandmother likes to make traditional Thai desserts and teaches the methods to children and grandchildren
เพื่อนบ้านของเราชอบจัดสวนหย่อม และปลูกไม้ดอกไม้ประดับหลากหลายชนิด,Our neighbors like to arrange garden landscapes and grow various ornamental plants
แม่มักจะสอนให้เรารู้จักกตัญญูต่อผู้มีพระคุณ และช่วยเหลือผู้อื่นตามกำลัง,Mother often teaches us to be grateful to benefactors and help others within our ability
คุณป้าที่ขายก๋วยเตี๋ยวมักจะปรุงรสชาติอร่อย และใส่ผักสดเยอะๆ,The aunt who sells noodles usually seasons them deliciously and adds lots of fresh vegetables
พ่อชอบสอนให้เรารู้จักซ่อมแซมของใช้ในบ้าน และดูแลรักษาอุปกรณ์ต่างๆ อย่างดี,Father likes to teach us how to repair household items and maintain equipment well
น้องสาวชอบช่วยแม่จัดโต๊ะอาหาร และทำด้วยความประณีตทุกครั้ง,Little sister likes to help mother set the dining table and does it meticulously every time
คุณครูภาษาอังกฤษสอนให้เราฝึกพูดทุกวัน และจัดกิจกรรมที่สนุกสนาน,The English teacher has us practice speaking every day and organizes fun activities
แม่ค้าที่ขายผลไม้มักจะแนะนำผลไม้ตามฤดูกาล และให้ชิมก่อนซื้อเสมอ,The fruit vendor usually recommends seasonal fruits and always lets customers taste before buying
พี่ชายชอบเล่นกีฬาในสนามหญ้า และชวนเพื่อนๆ มาร่วมเล่นด้วยกัน,Big brother likes to play sports on the lawn and invites friends to join
คุณตาชอบเล่าประวัติศาสตร์ท้องถิ่น และพาหลานๆ ไปเที่ยวสถานที่สำคัญ,Grandfather likes to tell local history and takes grandchildren to visit important places
เพื่อนบ้านของเราชอบทำอาหารพื้นบ้าน และมักจะเชิญเราไปรับประทานด้วยกัน,Our neighbors like to cook local food and often invite us to eat together
แม่มักจะสอนให้เรารู้จักออมเงิน และวางแผนการใช้จ่ายอย่างรอบคอบ,Mother often teaches us to save money and plan expenses carefully
คุณลุงที่ร้านซ่อมรถใจดีมาก และสอนวิธีดูแลรักษารถให้ลูกค้าเสมอ,The uncle at the car repair shop is very kind and always teaches customers how to maintain their cars
พ่อชอบพาครอบครัวไปเที่ยวตลาดน้ำในวันหยุด และเล่าประวัติความเป็นมาให้ฟัง,Father likes to take the family to floating markets on holidays and tells us about their history
น้องชายชอบช่วยคุณยายทำสวน และเรียนรู้เรื่องพืชผักสมุนไพร,Little brother likes to help grandmother garden and learns about herbs and vegetables
คุณครูวิทยาศาสตร์สอนให้เรารักษาสิ่งแวดล้อม และทำโครงงานเกี่ยวกับการรีไซเคิล,The science teacher teaches us to protect the environment and do projects about recycling
แม่ค้าที่ร้านขายของชำจัดร้านเป็นระเบียบ และติดป้ายราคาชัดเจน,The shopkeeper at the grocery store organizes the shop neatly and displays clear price tags
พี่สาวชอบทำขนมในวันหยุด และทดลองทำสูตรใหม่ๆ อยู่เสมอ,Big sister likes to make desserts on holidays and always tries new recipes
คุณยายชอบสอนหลานๆ ทำอาหารไทย และเล่าเรื่องราวความเป็นมาของอาหารแต่ละชนิด,Grandmother likes to teach grandchildren how to cook Thai food and tells the history of each dish
เพื่อนบ้านของเราชอบปลูกไม้ดอกหอม และแบ่งปันดอกไม้ให้เพื่อนบ้านเสมอ,Our neighbors like to grow fragrant flowers and always share flowers with neighbors
แม่มักจะสอนให้เรารู้จักมารยาทไทย และการวางตัวในสังคม,Mother often teaches us Thai manners and how to behave in society
คุณป้าที่ขายขนมไทยทำขนมอร่อยมาก และรักษาสูตรโบราณไว้อย่างดี,The aunt who sells Thai desserts makes very delicious snacks and preserves traditional recipes well
พ่อชอบพาเราไปเที่ยวชมพิพิธภัณฑ์ และอธิบายประวัติศาสตร์ให้ฟัง,Father likes to take us to museums and explains history to us
น้องสาวชอบช่วยแม่จัดดอกไม้ และเรียนรู้การจัดดอกไม้แบบไทย,Little sister likes to help mother arrange flowers and learns Thai flower arrangement
คุณครูดนตรีสอนให้เราเล่นเครื่องดนตรีไทย และเข้าใจคุณค่าของดนตรีไทย,The music teacher teaches us to play Thai instruments and understand the value of Thai music
แม่ค้าที่ขายผักในตลาดคัดผักสดใหม่ทุกวัน และขายในราคาที่เหมาะสม,The vegetable vendor at the market selects fresh vegetables every day and sells at reasonable prices
พี่ชายชอบเล่นกีฬาไทย และสอนน้องๆ เล่นกีฬาพื้นบ้าน,Big brother likes to play Thai sports and teaches younger siblings traditional games
คุณตาชอบทำเครื่องจักสานไทย และสอนวิธีการสานให้ลูกหลาน,Grandfather likes to make Thai wickerwork and teaches weaving methods to children and grandchildren
เพื่อนบ้านของเราชอบทำน้ำสมุนไพร และแบ่งปันให้เพื่อนบ้านดื่ม,Our neighbors like to make herbal drinks and share them with neighbors
แม่มักจะสอนให้เรารู้จักใช้สมุนไพรไทย และวิธีการดูแลสุขภาพแบบธรรมชาติ,Mother often teaches us about Thai herbs and natural health care methods
คุณลุงที่สวนผลไม้ใจดีมาก และสอนวิธีการดูแลต้นไม้ให้ออกผลดก,The uncle at the fruit garden is very kind and teaches how to care for trees to yield abundant fruit
พ่อชอบพาครอบครัวไปทำบุญที่วัดในวันพระ และสอนให้เรารู้จักประเพณีไทย,Father likes to take the family to make merit at temples on Buddhist holy days and teaches us about Thai traditions
น้องชายชอบช่วยพ่อทำสวน และเรียนรู้การเพาะปลูกแบบธรรมชาติ,Little brother likes to help father garden and learns natural farming methods
คุณครูศิลปะสอนให้เราวาดภาพไทย และเข้าใจความงามของศิลปะไทย,The art teacher teaches us to draw Thai art and understand the beauty of Thai art
แม่ค้าที่ขายอาหารตามสั่งปรุงอาหารอร่อย และรักษาความสะอาดเป็นอย่างดี,The food vendor who sells made-to-order dishes cooks delicious food and maintains good cleanliness
พี่สาวชอบร้องเพลงไทยเดิม และฝึกซ้อมอย่างสม่ำเสมอ,Big sister likes to sing traditional Thai songs and practices regularly
คุณยายชอบทอผ้าไทย และสอนลวดลายโบราณให้ลูกหลาน,Grandmother likes to weave Thai fabric and teaches traditional patterns to children and grandchildren
เพื่อนบ้านของเราชอบปลูกผักสวนครัว และทำปุ๋ยหมักใช้เอง,Our neighbors like to grow kitchen vegetables and make their own compost
แม่มักจะสอนให้เรารู้จักประหยัด และใช้ของอย่างคุ้มค่า,Mother often teaches us to be economical and use things efficiently
คุณป้าที่ร้านขายยาสมุนไพรใจดีมาก และให้คำแนะนำเรื่องการใช้สมุนไพร,The aunt at the herbal medicine shop is very kind and gives advice about using herbs
เมื่อคุณเดินทางไปต่างประเทศ คุณควรเตรียมพาสปอร์ตให้พร้อม,"When traveling abroad, you should have your passport ready"
ถ้าคุณต้องการความช่วยเหลือในการทำอาหาร ฉันยินดีจะสอนคุณ,"If you need help with cooking, I'd be happy to teach you"
แม้ว่าฝนจะตกหนัก แต่พวกเราก็ต้องไปทำงานตามปกติ,"Even though it's raining heavily, we still have to go to work as usual"
เธอชอบดูหนังแนวแอคชั่น แต่ฉันชอบดูหนังตลกมากกว่า,"She likes action movies, but I prefer watching comedies"
ขณะที่เราเดินซื้อของในห้าง เราได้พบเพื่อนเก่าโดยบังเอิญ,"While shopping at the mall, we accidentally ran into an old friend"
หลังจากที่ประชุมเสร็จ เราจะไปทานอาหารเย็นด้วยกัน,"After the meeting is finished, we will go have dinner together"
ถึงแม้ว่าอากาศจะร้อนมาก แต่เด็กๆก็ยังชอบวิ่งเล่นในสวน,"Despite the hot weather, the children still enjoy running in the garden"
เมื่อวานนี้ฉันไปหาหมอฟัน เพราะปวดฟันมาหลายวันแล้ว,Yesterday I went to see the dentist because my tooth had been hurting for several days
พี่สาวของฉันชอบทำอาหารไทย โดยเฉพาะต้มยำกุ้งและผัดไทย,"My older sister loves cooking Thai food, especially Tom Yum Kung and Pad Thai"
แม่ของฉันสอนให้ฉันประหยัดเงิน และใช้จ่ายอย่างรอบคอบ,My mother taught me to save money and spend wisely
ถึงแม้ว่าการเรียนภาษาไทยจะยาก แต่ฉันก็จะพยายามต่อไป,"Although learning Thai is difficult, I will keep trying"
หลังจากที่ฝนหยุดตก ท้องฟ้าก็เริ่มสดใสขึ้นอีกครั้ง,"After the rain stopped, the sky started to brighten up again"
เพื่อนของฉันชอบเล่นดนตรี โดยเฉพาะกีตาร์และเปียโน,"My friend loves playing music, particularly guitar and piano"
ขณะที่เธอกำลังอ่านหนังสือ น้องชายก็วิ่งเข้ามาในห้อง,"While she was reading a book, her younger brother ran into the room"
พ่อของฉันชอบดูข่าว แต่แม่ชอบดูละครมากกว่า,"My father likes watching news, but my mother prefers watching dramas"
ถ้าคุณต้องการความช่วยเหลือ คุณสามารถโทรหาฉันได้ตลอดเวลา,"If you need help, you can call me anytime"
แม้ว่าอาหารจะแพง แต่คุณภาพก็คุ้มค่ากับราคา,"Although the food is expensive, the quality is worth the price"
เมื่อเช้านี้รถติดมาก เพราะมีอุบัติเหตุบนถนน,This morning traffic was heavy because there was an accident on the road
หลังจากทำงานเสร็จ ฉันจะไปออกกำลังกายที่สวนสาธารณะ,"After finishing work, I will go exercise at the park"
ถึงแม้ว่าจะเหนื่อย แต่ฉันก็มีความสุขที่ได้ช่วยเหลือผู้อื่น,"Even though I'm tired, I'm happy to help others"
เพื่อนของฉันชอบถ่ายรูป โดยเฉพาะภาพธรรมชาติและสัตว์,"My friend loves taking photos, especially of nature and animals"
ขณะที่เราทานอาหารกลางวัน เพื่อนร่วมงานก็เล่าเรื่องตลก,"While we were having lunch, our colleague told funny stories"
แม้ว่าวันนี้จะเป็นวันหยุด แต่ฉันต้องทำงานที่บ้าน,"Even though today is a holiday, I have to work from home"
ถ้าคุณต้องการไปเที่ยว เราสามารถวางแผนด้วยกันได้,"If you want to travel, we can plan together"
เมื่อฉันกลับถึงบ้าน น้องสาวกำลังทำการบ้านอยู่,"When I got home, my younger sister was doing homework"
หลังจากดูหนัง เราไปทานไอศกรีมด้วยกัน,"After watching the movie, we went to eat ice cream together"
ถึงแม้ว่าจะมีปัญหา แต่เราก็สามารถแก้ไขได้ด้วยกัน,"Despite having problems, we can solve them together"
พี่ชายของฉันชอบเล่นกีฬา โดยเฉพาะฟุตบอลและบาสเกตบอล,"My older brother loves playing sports, especially football and basketball"
ขณะที่ฝนตก เด็กๆก็วิ่งเล่นในบ้าน,"While it was raining, the children played inside the house"
แม้ว่าจะเป็นวันจันทร์ แต่การจราจรก็ไม่ติดขัด,"Although it's Monday, the traffic isn't congested"
เมื่อเราไปถึงร้านอาหาร คนก็เยอะมาก,"When we arrived at the restaurant, it was very crowded"
หลังจากเลิกงาน ฉันไปซื้อของที่ซูเปอร์มาร์เก็ต,"After work, I went shopping at the supermarket"
ถึงแม้ว่าจะอยู่ไกล แต่เราก็ติดต่อกันได้ทางโทรศัพท์,"Even though we're far apart, we can stay in touch by phone"
เพื่อนของฉันชอบทำขนม โดยเฉพาะเค้กและคุกกี้,"My friend loves baking, especially cakes and cookies"
ขณะที่เธอทำอาหาร ลูกชายก็ช่วยล้างผัก,"While she was cooking, her son helped wash the vegetables"
แม้ว่าจะเป็นฤดูร้อน แต่อากาศก็เย็นสบาย,"Although it's summer, the weather is pleasantly cool"
ถ้าคุณมีเวลาว่าง เราไปดื่มกาแฟด้วยกันไหม,"If you have free time, would you like to go for coffee together"
เมื่อฉันเจอปัญหา เพื่อนๆคอยช่วยเหลือเสมอ,"When I encounter problems, my friends always help"
หลังจากเรียนจบ ฉันอยากทำงานที่ต่างประเทศ,"After graduating, I want to work abroad"
ถึงแม้ว่าจะยาก แต่ฉันจะพยายามทำให้ดีที่สุด,"Although it's difficult, I will try my best"
พี่สาวของฉันชอบอ่านหนังสือ โดยเฉพาะนิยายและการ์ตูน,"My older sister loves reading, especially novels and comics"
ขณะที่เราคุยกัน เวลาก็ผ่านไปเร็วมาก,"While we were talking, time passed very quickly"
แม้ว่าจะเหนื่อย แต่ฉันก็มีความสุขกับงานที่ทำ,"Even though I'm tired, I'm happy with my work"
เมื่อถึงวันหยุด ฉันชอบนอนตื่นสาย,"When it's a holiday, I like to sleep in"
หลังจากออกกำลังกาย ฉันรู้สึกสดชื่นขึ้นมาก,"After exercising, I feel much more refreshed"
ถึงแม้ว่าจะไม่ชอบผัก แต่ฉันก็พยายามทานเพื่อสุขภาพ,"Although I don't like vegetables, I try to eat them for health"
เพื่อนของฉันชอบเที่ยวกลางคืน แต่ฉันชอบอยู่บ้านมากกว่า,"My friend loves going out at night, but I prefer staying home"
ขณะที่ฉันทำงาน แมวก็นอนอยู่ข้างๆ,"While I work, my cat sleeps beside me"
แม้ว่าจะอายุมาก แต่คุณยายก็ยังแข็งแรง,"Although she's elderly, grandmother is still strong"
ถ้าฝนไม่ตก เราจะไปเที่ยวทะเลกัน,"If it doesn't rain, we'll go to the beach"
เมื่อได้ยินเพลงนี้ ฉันนึกถึงความทรงจำเก่าๆ,"When I hear this song, I think of old memories"
หลังจากดูซีรี่ส์จบ ฉันรู้สึกใจหาย,"After finishing the series, I felt empty inside"
ถึงแม้ว่าจะไม่เก่ง แต่ฉันก็ทำเต็มที่,"Although I'm not skilled, I give it my all"
พี่ชายของฉันชอบเล่นเกม โดยเฉพาะเกมแนวผจญภัย,"My older brother loves playing games, especially adventure games"
ขณะที่เราเดินเล่น ลมก็พัดเย็นสบาย,"While we were walking, the breeze was pleasantly cool"
แม้ว่าจะเป็นร้านเล็กๆ แต่อาหารก็อร่อยมาก,"Although it's a small restaurant, the food is very delicious"
เมื่อถึงเวลาพัก ฉันชอบฟังเพลง,"When it's break time, I like listening to music"
หลังจากอ่านหนังสือจบ ฉันรู้สึกประทับใจมาก,"After finishing the book, I was very impressed"
ถึงแม้ว่าจะราคาแพง แต่คุณภาพก็ดีมาก,"Even though it's expensive, the quality is very good"
เพื่อนของฉันชอบทำอาหาร โดยเฉพาะอาหารอิตาเลียน,"My friend loves cooking, especially Italian food"
ขณะที่เธอร้องเพลง ทุกคนก็ปรบมือ,"While she was singing, everyone clapped"
แม้ว่าจะอยู่ต่างประเทศ แต่ฉันก็คิดถึงบ้านเสมอ,"Although I'm abroad, I always miss home"
ถ้าคุณว่าง เรานัดเจอกันได้,"If you're free, we can meet up"
เมื่อฉันเครียด ฉันชอบฟังเพลงเพื่อผ่อนคลาย,"When I'm stressed, I like listening to music to relax"
หลังจากทานข้าวเสร็จ อย่าลืมล้างจาน,"After finishing your meal, don't forget to wash the dishes"
ถึงแม้ว่าจะเหนื่อย แต่ฉันก็ยังอยากเรียนต่อ,"Although I'm tired, I still want to continue studying"
พี่สาวของฉันชอบวาดรูป โดยเฉพาะภาพเหมือน,"My older sister loves drawing, especially portraits"
ขณะที่เราดูทีวี ไฟก็ดับ,"While we were watching TV, the power went out"
แม้ว่าจะไม่มีประสบการณ์ แต่ฉันก็อยากลองทำดู,"Even though I don't have experience, I want to give it a try"
เพื่อนของฉันชอบถ่ายรูปดอกไม้ในสวนสาธารณะ,My friend loves taking photos of flowers in the park
ขณะที่ฉันทำงาน เพื่อนร่วมงานก็ชวนไปทานข้าว,"While I was working, my colleague invited me to lunch"
แม้ว่าจะเป็นวันหยุด แต่ห้างสรรพสินค้าก็คนเยอะ,"Although it's a holiday, the shopping mall is still crowded"
ถ้าคุณไม่สบาย คุณควรไปพบแพทย์,"If you're not feeling well, you should see a doctor"
เมื่อฉันทำอาหารเสร็จ ครอบครัวก็มารวมตัวกันที่โต๊ะ,"When I finished cooking, the family gathered at the table"
หลังจากดูคอนเสิร์ต ฉันรู้สึกมีความสุขมาก,"After watching the concert, I felt very happy"
ถึงแม้ว่าจะอ่อนเพลีย แต่ฉันก็ต้องทำงานให้เสร็จ,"Despite being tired, I have to finish my work"
พี่สาวของฉันชอบเต้น โดยเฉพาะเต้นบัลเลต์,"My older sister loves dancing, especially ballet"
ขณะที่เราเดินในสวน นกก็บินมาเกาะต้นไม้,"While we walked in the garden, birds flew to perch on trees"
แม้ว่าจะเป็นหน้าหนาว แต่อากาศก็ไม่หนาวมาก,"Although it's winter, it's not very cold"
ถ้าคุณชอบดนตรี คุณควรลองเล่นเครื่องดนตรี,"If you like music, you should try playing an instrument"
เมื่อถึงเวลานอน เด็กๆก็เข้านอนตรงเวลา,"When bedtime comes, the children go to bed on time"
หลังจากทำความสะอาดบ้าน ฉันรู้สึกเหนื่อยมาก,"After cleaning the house, I felt very tired"
ถึงแม้ว่าจะไม่ถนัด แต่ฉันก็อยากลองทำอาหาร,"Even though I'm not skilled at it, I want to try cooking"
เพื่อนของฉันชอบปลูกต้นไม้ โดยเฉพาะดอกกุหลาบ,"My friend loves growing plants, especially roses"
ขณะที่เราคุยโทรศัพท์ แบตเตอรี่ก็หมด,"While we were talking on the phone, the battery died"
แม้ว่าจะไม่ชอบการบ้าน แต่ฉันก็ต้องทำให้เสร็จ,"Although I don't like homework, I have to finish it"
ถ้าคุณมีปัญหา คุณสามารถปรึกษาฉันได้,"If you have problems, you can consult with me"
เมื่อฉันได้รับข่าวดี ฉันรีบโทรบอกครอบครัว,"When I received good news, I quickly called my family"
หลังจากดูภาพยนตร์จบ เราก็คุยกันถึงตอนจบ,"After finishing the movie, we discussed the ending"
ถึงแม้ว่าจะมีอุปสรรค แต่เราก็ต้องสู้ต่อไป,"Despite obstacles, we must keep fighting"
พี่ชายของฉันชอบทำงานศิลปะ โดยเฉพาะงานปั้น,"My older brother loves doing art, especially sculpture"
ขณะที่เราทำงาน เวลาก็ผ่านไปเร็วมาก,"While we work, time passes very quickly"
แม้ว่าจะเป็นมือใหม่ แต่เธอก็ทำได้ดีมาก,"Although she's a beginner, she's doing very well"
ถ้าฝนตก เราจะดูหนังที่บ้านแทน,"If it rains, we'll watch movies at home instead"
เมื่อถึงวันเกิด ฉันชอบทำอาหารให้ครอบครัว,"When it's my birthday, I like cooking for my family"
หลังจากเลิกเรียน ฉันไปซ้อมดนตรีกับเพื่อน,"After school, I practice music with friends"
ถึงแม้ว่าจะไม่ชำนาญ แต่ฉันก็พยายามช่วย,"Even though I'm not experienced, I try to help"
เพื่อนของฉันชอบร้องเพลง โดยเฉพาะเพลงป็อป,"My friend loves singing, especially pop songs"
ขณะที่เราทานข้าว เพื่อนก็เล่าเรื่องตลก,"While we were eating, our friend told jokes"
แม้ว่าจะเป็นวันธรรมดา แต่ร้านอาหารก็เต็ม,"Although it's a weekday, the restaurant is full"
ถ้าคุณขยัน คุณจะประสบความสำเร็จ,"If you work hard, you will succeed"
เมื่อฉันเห็นรูปเก่า ฉันคิดถึงความหลัง,"When I see old photos, I think of the past"
หลังจากวิ่งเสร็จ ฉันดื่มน้ำเยอะมาก,"After running, I drink a lot of water"
ถึงแม้ว่าจะไม่ค่อยว่าง แต่ฉันก็พยายามออกกำลังกาย,"Although I'm not very free, I try to exercise"
พี่สาวของฉันชอบแต่งหน้า โดยเฉพาะการทาลิปสติก,"My older sister loves doing makeup, especially applying lipstick"
ขณะที่เราเดินทาง เราได้เห็นวิวสวยๆ,"While we traveled, we saw beautiful views"
แม้ว่าจะเป็นงานยาก แต่ฉันก็สนุกกับมัน,"Although it's difficult work, I enjoy it"
ถ้าคุณตั้งใจ คุณจะทำได้แน่นอน,"If you're determined, you will surely succeed"
เมื่อฉันว่าง ฉันชอบอ่านหนังสือ,"When I'm free, I like reading books"
หลังจากเรียนพิเศษ ฉันทำการบ้านให้เสร็จ,"After tutoring, I finish my homework"
ถึงแม้ว่าจะเหนื่อย แต่ฉันก็มีความสุข,"Although I'm tired, I'm happy"
เพื่อนของฉันชอบเล่นกีฬา โดยเฉพาะว่ายน้ำ,"My friend loves playing sports, especially swimming"
วันนี้อากาศดีมาก เราน่าจะไปเดินเล่นที่สวนสาธารณะกันไหม?,The weather is great today. Should we go for a walk in the park?
ถ้าคุณมีเวลาว่างช่วงบ่าย เราไปดื่มกาแฟที่ร้านใหม่กันเถอะ,"If you have free time this afternoon, let's go have coffee at the new shop."
เมื่อวานนี้ฉันเห็นหนังสือที่คุณชอบลดราคาที่ร้านหนังสือ,Yesterday I saw the book you like on sale at the bookstore.
