thai sentence,thai phoneme
ประเทศไทยได้เปิดตัวผลิตภัณฑ์สูตรใหม่ที่ประกอบด้วยพอนด์สเฟเชียลโฟม,pr a2 tʰ eː3 t _ tʰ a j _ d aː3 j _ p ɤː2 t t uːa _ pʰ a2 l i2 t t a2 pʰ a n _ s uː2 t _ m a2 j _ tʰ iː3 _ pr a2 k ᴐː2 p _ d uːa3 j _ pʰ ᴐː n _ f eː _ cʰ iːa n _ f oː m
จึงได้ผสมเพิร์ลนูเทรียนท์,c ɯ ŋ _ d aː3 j _ pʰ a2 s o5 m _ pʰ ɤː n _ n uː _ tʰ a4 r iːa n
ที่ปั๊มน้ำมันตราดาวของบริษัทพีเอสเซอร์วิสจำกัด,tʰ iː3 _ p a4 m n aː4 m m a n _ tr aː _ d aː w _ kʰ ᴐː5 ŋ _ b ᴐː r i4 s a2 t _ pʰ iː _ ʔ eː4 s _ s ɤː w i4 t _ c a m k a2 t
องค์หริภาตื้นตันได้พบพ่อโผโอบกอดแน่น,ʔ o ŋ _ h a2 r i4 _ pʰ aː _ t ɯː3 n t a n _ d aː3 j _ pʰ o4 p _ pʰ ᴐː3 _ pʰ oː5 _ ʔ oː2 p k ᴐː2 t _ n ɛː3 n
นายเนวินกล่าวต่อถึงสินค้าเฮาส์แบรนด์ว่า,n aː j _ n eː _ w i n _ kl aː2 w _ t ᴐː2 _ tʰ ɯ5 ŋ _ s i5 n kʰ aː4 _ h a w _ b a2 r ɛː n _ w aː3
พร้อมกำลังเข้าตรวจค้นร้านเซคคัลทิป,pʰr ᴐː4 m _ k a m l a ŋ _ kʰ a3 w _ tr uːa2 t _ kʰ o4 n _ r aː4 n _ s eː _ tʰ i4 p
ซอยโรงภาพยนตร์โอเอถนนราชปรารภแขวงพญาไท,s ᴐː j _ r oː ŋ pʰ aː3 p pʰ a4 j o n _ ʔ oː _ ʔ eː _ tʰ a2 n o5 n _ r aː3 t _ pr aː r o4 p _ kʰw ɛː5 ŋ _ pʰ a4 j aː tʰ a j
สำนักงานตำรวจแห่งชาติเปิดโลงเมียดอกเตอร์นิด้า,s a5 m n a4 k ŋ aː n t a m r uːa2 t h ɛː2 ŋ cʰ aː3 t _ p ɤː2 t _ l oː ŋ _ m iːa _ d ᴐː2 k t ɤː3 _ n i4 _ d aː3
เมื่อเหม่อมองไปยังร่างของดาบตำรวจรังสิต,m ɯːa3 _ m ɤː2 m ᴐː ŋ _ p a j _ j a ŋ _ r aː3 ŋ _ kʰ ᴐː5 ŋ _ d aː2 p _ t a m r uːa2 t _ r a ŋ s i2 t
การคุ้มครองผู้บริโภคหกสิบเก้านางสาวเทวีโพธิผละ,k aː n _ kʰ u4 m kʰr ᴐː ŋ _ pʰ uː3 b ᴐː r i4 pʰ oː3 k _ h o2 k _ s i2 p _ k a3 w _ n aː ŋ s aː5 w _ tʰ eː w iː _ pʰ oː tʰ i4 _ pʰl a2
เพราะถ้าลูกหนี้ง่อยเปลี้ยเสียขากันหมด,pʰr ᴐ4 _ tʰ aː3 _ l uː3 k n iː3 _ ŋ ᴐː3 j pl iːa3 s iːa5 kʰ aː5 _ k a n _ m o2 t
งานนี้หนุ่มใหญ่เจ้าของแบรนด์ออกจะปลาบปลื้ม,ŋ aː n _ n iː4 _ n u2 m j a2 j _ c aː3 w kʰ ᴐː5 ŋ _ b a2 r ɛː n _ ʔ ᴐː2 k _ c a2 _ pl aː2 p pl ɯː3 m
ลูกระเบิดขว้างแบบเคเจ็ดสิบห้าผิวเกลี้ยงหนึ่งลูก,l uː3 k r a4 b ɤː2 t _ kʰw aː3 ŋ _ b ɛː2 p _ kʰ eː _ c e2 t _ s i2 p _ h aː3 _ pʰ i5 w _ kl iːa3 ŋ _ n ɯ2 ŋ _ l uː3 k
ด้วยดีกรีเต็งหนึ่งร่วมกับแชมป์เก่าฝรั่งเศสแต่ภายหลังการแพ้พลิกล็อกในนัดเปิดสนามของทีมตราไก่ฝรั่งเศสต่อทีมเซเนกัล,d uːa3 j _ d iː kr iː _ t e ŋ _ n ɯ2 ŋ _ r uːa3 m _ k a2 p _ cʰ ɛː m _ k a2 w _ f a2 r a2 ŋ s eː2 t _ t ɛː2 _ pʰ aː j l a5 ŋ _ k aː n _ pʰ ɛː4 _ pʰl i4 k l ᴐ4 k _ n a j _ n a4 t _ p ɤː2 t _ s a2 n aː5 m _ kʰ ᴐː5 ŋ _ tʰ iː m _ tr aː _ k a2 j _ f a2 r a2 ŋ s eː2 t _ t ᴐː2 _ tʰ iː m _ s eː n eː k a n
และมีนักเตะฝีเท้าระดับโลกค้าแข้งอยู่ในสโมสรดังทั้งยุโรปและอเมริกาใต้เช่นฮวนเซบาสเตียนเวรอนจากแมนยู,l ɛ4 _ m iː _ n a4 k t e2 _ f iː5 tʰ aː4 w _ r a4 d a2 p l oː3 k _ kʰ aː4 _ kʰ ɛː3 ŋ _ j uː2 _ n a j _ s a2 m oː s ᴐː5 n _ d a ŋ _ tʰ a4 ŋ _ j u4 r oː3 p _ l ɛ4 _ ʔ a2 m eː r i4 k aː t aː3 j _ cʰ eː3 n _ h uːa n _ s eː _ b aː4 s _ t iːa n _ w eː _ r ᴐː n _ c aː2 k _ m ɛː n _ j uː
คนแรกมีพาโบลคาบาเญอโร,kʰ o n _ r ɛː3 k _ m iː _ pʰ aː _ b oː n _ kʰ aː _ b aː _ j ɤː _ r oː
วอลเตอร์ซามูเอล,w ᴐː n t ɤː3 _ s aː _ m uː _ ʔ eː n
ดิเอโกพลาเซนเต,d i2 _ ʔ eː _ k oː _ pʰl aː _ s eː n _ t eː
ประตูผลัดกันเซฟข้ามคาน,pr a2 t uː _ pʰl a2 t k a n _ s eː3 p _ kʰ aː3 m _ kʰ aː n
แดนนีมิลส์แอชลีย์โคลริโอเฟอร์ดินานด์โซล,d ɛː n _ n iː _ m i n _ ʔ ɛː cʰ a4 l iː _ kʰ oː n _ r i4 _ ʔ oː _ f ɤː d i2 n aː n _ s oː n
โซลแคมพ์เบลล์เอมิลเฮสกีย์โอเวนฮาร์กรีฟส์พอลสโคลส์เดวิดเบคแคม,s oː n _ kʰ ɛː m _ b eː n _ ʔ eː m i n _ h eː3 t _ k iː _ ʔ oː w eː n _ h aː _ k a2 r iː2 p _ pʰ ᴐː n _ s a2 kʰ oː n _ d eː w i4 t _ b eː2 k _ kʰ ɛː m
เบคแคมกัปตันทีมที่หายเจ็บมาลงเล่นได้ทันเวลาพอดี,b eː2 k _ kʰ ɛː m _ k a2 p t a n _ tʰ iː m _ tʰ iː3 _ h aː5 j _ c e2 p _ m aː _ l o ŋ _ l eː3 n _ d aː3 j _ tʰ a n w eː l aː _ pʰ ᴐː d iː
เมื่อออลแบล็กแทงทะลุแผงหลังอังกฤษให้ลูซิชวิ่งสอดเข้าไปเดี่ยวเดี่ยวกับซีแมนแต่ลูซิชชิพไปติดตัวซีแมน,m ɯːa3 _ ʔ ᴐː n _ bl ɛ2 k _ tʰ ɛː ŋ tʰ a4 l u4 _ pʰ ɛː5 ŋ _ l a5 ŋ _ ʔ a ŋ kr i2 t _ h a3 j _ l uː _ s i4 _ cʰ a4 w i3 ŋ _ s ᴐː2 t _ kʰ a3 w _ p a j _ d iːa2 w _ d iːa2 w _ k a2 p _ s iː _ m ɛː n _ t ɛː2 _ l uː _ s i4 _ p a j _ t i2 t t uːa _ s iː _ m ɛː n
สเปนเพิ่มสกอร์สองถึงศูนย์นาทีที่หกสิบหกเฟอร์นันโดมอริเอนเตส,s a2 p eː n _ pʰ ɤː3 m _ s o2 k _ s ᴐː5 ŋ _ tʰ ɯ5 ŋ _ s uː5 n _ n aː tʰ iː _ tʰ iː3 _ h o2 k _ s i2 p _ h o2 k _ f ɤː n a n d oː _ m ᴐː _ r i4 _ ʔ eː n _ t eː2 t
เอนเตสของสเปนศูนย์หน้าจากรีลมาดริดถูกส่งลงไปแทนทริสตัน,ʔ eː n _ t eː2 t _ kʰ ᴐː5 ŋ _ s a2 p eː n _ s uː5 n n aː3 _ c aː2 k _ r iː n _ m aː d a2 r i2 t _ tʰ uː2 k _ s o2 ŋ _ l o ŋ _ p a j _ tʰ ɛː n _ tʰ a4 r i4 _ s a2 t a n
ทั้งนี้โดยภาพรวมการอภิปรายของฝ่ายค้านเยิ่นเย้อเกินไป,tʰ a4 ŋ n iː4 _ d oː j _ pʰ aː3 p r uːa m _ k aː n _ ʔ a2 pʰ i4 pr aː j _ kʰ ᴐː5 ŋ _ f aː2 j kʰ aː4 n _ j ɤː3 n j ɤː4 _ k ɤː n p a j
บุกบ้านหรูรวบญี่ปุ่นก๊วนยาอี,b u2 k _ b aː3 n _ r uː5 _ r uːa3 p _ j iː3 p u2 n _ k uːa4 n _ j aː ʔ iː
สำนักข่าวเพรสทรัสต์ของอินเดีย,s a5 m n a4 k kʰ aː2 w _ pʰr eː3 t _ s a4 t _ kʰ ᴐː5 ŋ _ ʔ i n d iːa
พันตำรวจโทกร้าวตายหนเดียวไม่กลัวตึ๋ง,pʰ a n t a m r uːa2 t tʰ oː _ kr aː3 w _ t aː j _ h o5 n _ d iːa w _ m a3 j _ kl uːa _ t ɯ5 ŋ
บริเวณตะแกรงศีรษะและแขนโผล่เหนือน้ำขึ้นมาครึ่งตัว,b ᴐː r i4 w eː n _ t a2 kr ɛː ŋ _ s iː5 s a2 _ l ɛ4 _ kʰ ɛː5 n _ pʰl oː2 _ n ɯːa5 _ n aː4 m kʰ ɯ3 n _ m aː _ kʰr ɯ3 ŋ _ t uːa
เพราะจะเล่นเรื่องนี้เองขอยืนยันว่าตนไม่เคยผลุบผลุบโผล่โผล่เหมือนที่นายสมศักดิ์กล่าวหา,pʰr ᴐ4 _ c a2 _ l eː3 n _ r ɯːa3 ŋ _ n iː4 ʔ eː ŋ _ kʰ ᴐː5 _ j ɯː n j a n _ w aː3 _ t o n _ m a3 j _ kʰ ɤː j _ pʰl u2 p _ pʰl u2 p pʰl oː2 _ pʰl oː2 _ m ɯːa5 n _ tʰ iː3 _ n aː j _ s o5 m _ s a2 k _ kl aː2 w h aː5
ท่านอ๋อยไม่มีรถจักรยานยนต์ใช้ต้องขี่เก๋งต่อเกวียนซื้อเวลาแหละค่ะ,tʰ a3 n _ ʔ ᴐː5 j _ m a3 j _ m iː _ r o4 t c a2 k kr a2 j aː n j o n _ cʰ a4 j _ t ᴐː3 ŋ _ kʰ iː2 _ k eː5 ŋ _ t ᴐː2 _ kw iːa n _ s ɯː4 w eː l aː _ l ɛ2 _ kʰ a3
กรึงไกรคืออะไหล่หรืออุปกรณ์ของรถยนต์ที่คล้ายจอพลาสม่าตัวกว้างแบบยกเกลียวห้าข้อ,kr ɯ ŋ _ kr a j _ kʰ ɯː _ ʔ a2 l a2 j _ r ɯː5 _ ʔ u2 p a2 k ᴐː n _ kʰ ᴐː5 ŋ _ r o4 t j o n _ tʰ iː3 _ kʰl aː4 j _ c ᴐː _ pʰl aː3 t m aː3 _ t uːa _ kw aː3 ŋ _ b ɛː2 p _ j o4 k _ kl iːa w _ h aː3 _ kʰ ᴐː3
กรึงไกรเกิดมีปัญหาโซลหน้ารั่วซึมเละราชก็คว้ากลีบหญ้าปล้องมัดกลางตัวครอบแปะไว้,kr ɯ ŋ _ kr a j _ k ɤː2 t _ m iː _ p a n h aː5 _ s oː n _ n aː3 _ r uːa3 _ s ɯ m _ l e4 _ r aː3 t _ k ᴐː3 _ kʰw aː4 _ kl iː2 p _ j aː3 pl ᴐː3 ŋ _ m a4 t _ kl aː ŋ _ t uːa _ kʰr ᴐː3 p _ p ɛ2 _ w a4 j
เงินเฟ้อสลดลงอีกสิบจุดห้าเปอร์เซ็นต์น้อยว่าแม้กรมจะกวาดเบี้ยมาเยอะแล้วแต่ขั้นนี้ปล่อยดูภาวะสมกว่า,ŋ ɤ n f ɤː4 _ s a2 l o2 t _ l o ŋ _ ʔ iː2 k _ s i2 p _ c u2 t _ h aː3 _ p ɤː s e n _ n ᴐː4 j _ w aː3 _ m ɛː4 _ kr o m _ c a2 _ kw aː2 t _ b iːa3 _ m aː _ j ɤ4 _ l ɛː4 w t ɛː2 _ kʰ a3 n _ n iː4 _ pl ᴐː2 j _ d uː _ pʰ aː w a4 _ s o5 m _ kw aː2
ท่านสั่งน้ำเปล่าและบรั่นดีชื่อมะชี่บริวเวอรี่ห้าแก้ว,tʰ a3 n _ s a2 ŋ _ n aː4 m pl a2 w _ l ɛ4 _ br a2 n d iː _ cʰ ɯː3 _ m a4 _ cʰ iː3 _ b a2 r i w w ɤː r iː3 _ h aː3 _ k ɛː3 w
อย่าเชื่อน้องแอฟและขวัญใจเปล่าโป๊นะ,j aː2 _ cʰ ɯːa3 _ n ᴐː4 ŋ _ ʔ ɛː2 p _ l ɛ4 _ kʰw a5 n c a j _ pl a2 w _ p oː4 _ n a4
ตัวเคลื่อนไหวคือฟรอนเทียร์ของรถยนต์ต่อเชื่อมหูกับมือผลักมิให้เพลาสั่นเครือ,t uːa _ kʰl ɯːa3 n w a5 j _ kʰ ɯː _ fr ᴐː n _ tʰ iːa _ kʰ ᴐː5 ŋ _ r o4 t j o n _ t ᴐː2 _ cʰ ɯːa3 m _ h uː5 _ k a2 p _ m ɯː _ pʰl a2 k _ m i4 h a3 j _ pʰl a w _ s a2 n kʰr ɯːa
โรงแรมปริ๊นเซสตั้งอยู่ในตลาดโบ๊เบ๊สี่ใกล้หนองปรือแค่แปด,r oː ŋ r ɛː m _ p a2 r i4 n _ s eː3 t _ t a3 ŋ _ j uː2 _ n a j _ t a2 l aː2 t _ b oː4 b eː4 _ s iː2 _ kl a3 j _ n ᴐː5 ŋ _ pr ɯː _ kʰ ɛː3 _ p ɛː2 t
เหตุเกิดมือหวยสู้หวยอยู่เนืองเนืองข้างโรงแรมปริ๊นเซส,h eː2 t _ k ɤː2 t _ m ɯː _ h uːa5 j _ s uː3 _ h uːa5 j _ j uː2 _ n ɯːa ŋ _ n ɯːa ŋ _ kʰ aː3 ŋ _ r oː ŋ r ɛː m _ p a2 r i4 n _ s eː3 t
เซียะเลือกซื้อเป็ดหมูย่างอร่อยหรูระดับเรสโตรรองเพื่อขวัญที่หงุดหงิด,s ia3 _ l ɯːa3 k _ s ɯː4 _ p e2 t _ m uː5 j aː3 ŋ _ ʔ a2 r ᴐː2 j _ r uː5 _ r a4 d a2 p _ r eː3 t _ tr oː _ r ᴐː ŋ _ pʰ ɯːa3 _ kʰw a5 n _ tʰ iː3 _ ŋ u2 t ŋ i2 t
ครูจ้างเสี่ยอ้วนเจอปั๊มอาทิตย์หน้าทุ่มตรงที่เรสโตรองอาหารญี่ปุ่นชื่อเซลเซียสอยู่ปลายอู่เบนซ์,kʰr uː _ c aː3 ŋ _ s iːa2 _ ʔ uːa3 n _ c ɤː _ p a4 m _ ʔ aː tʰ i4 t _ n aː3 _ tʰ u3 m _ tr o ŋ tʰ iː3 _ r eː3 t _ t oː _ r ᴐː ŋ _ ʔ aː h aː5 n _ j iː3 p u2 n _ cʰ ɯː3 _ s eː l s iːa3 t _ j uː2 _ pl aː j _ ʔ uː2 _ b eː n
เทอะมีตั๋วเครื่องบินแอร์คราฟท์เก๊ไปเสียมราฐ,tʰ ɤ4 _ m iː _ t uːa5 _ kʰr ɯːa3 ŋ b i n _ ʔ ɛː kʰr aː4 f _ k eː4 _ p a j _ s iːa5 _ m a4 r aː3 t
ผมขอเถอะครับอย่าปล้นเรือผม,pʰ o5 m _ kʰ ᴐː5 _ tʰ ɤ2 _ kʰr a4 p _ j aː2 _ pl o3 n _ r ɯːa _ pʰ o5 m
ผัวเจ๊จัดการได้แม้เรื่องนี้ตั๊กหรือติ๊กก็เสร็จ,pʰ uːa5 _ c eː4 _ c a2 t k aː n _ d aː3 j _ m ɛː4 _ r ɯːa3 ŋ _ n iː4 _ t a4 k k a2 _ r ɯː5 _ t i4 k _ k ᴐː3 _ s e2 t
เจ๊รับกลัวเพราะแพ้แป้งฝุ่นผดผื่นเห่อหลังเฟะมากรอหมอแก้ลำ,c eː4 _ r a4 p _ kl uːa _ pʰr ᴐ4 _ pʰ ɛː4 _ p ɛː3 ŋ f u2 n _ pʰ o2 t _ pʰ ɯː2 n _ h ɤː2 _ l a5 ŋ _ f e4 _ m aː3 k _ r ᴐː _ m ᴐː5 _ k ɛː3 l a m
เสือว่าอย่ายอมกว่าอ้วนเบื่อก็เหยื่อหมดแล้ว,s ɯːa5 _ w aː3 _ j aː2 _ j ᴐː m _ kw aː2 _ ʔ uːa3 n _ b ɯːa2 _ k ᴐː3 _ j ɯːa2 _ m o2 t _ l ɛː4 w
เหยื่อหวังเรายังมีทางสู้เหลือหากทิ้งความเกร็งและหวาดหวั่น,j ɯːa2 _ w a5 ŋ _ r a w _ j a ŋ _ m iː _ tʰ aː ŋ _ s uː3 _ l ɯːa5 _ h aː2 k _ tʰ i4 ŋ _ kʰw aː m _ kr e ŋ _ l ɛ4 _ w aː2 t w a2 n
น้อยถามแต่กรณีอึที่เปรอะทั่วรั้วของอู่นั้นขู่หรือไม่,n ᴐː4 j _ tʰ aː5 m _ t ɛː2 _ k ᴐː r a4 n iː _ ʔ ɯ2 _ tʰ iː3 _ pr ɤ2 _ tʰ uːa3 _ r uːa4 _ kʰ ᴐː5 ŋ _ ʔ uː2 _ n a4 n _ kʰ uː2 _ r ɯː5 m a3 j
เครื่องคอมเสียเครื่องเสียงก็เสียเป๊ะเลยซื้อเปลี่ยนเสียทั้งชุด,kʰr ɯːa3 ŋ _ kʰ ᴐː m _ s iːa5 _ kʰr ɯːa3 ŋ s iːa5 ŋ _ k ᴐː3 _ s iːa5 _ p e4 _ l ɤː j _ s ɯː4 _ pl iːa2 n _ s iːa5 _ tʰ a4 ŋ _ cʰ u4 t
โฉ่ดึงชื่อปลัดท่าตะโกขอหนังสือโป๊จำนวนเยอะให้แก่ป๋อท่าเกวียน,cʰ oː2 _ d ɯ ŋ _ cʰ ɯː3 _ p a2 l a2 t _ tʰ aː3 _ t a2 k oː _ kʰ ᴐː5 _ n a5 ŋ s ɯː5 _ p oː4 _ c a m n uːa n _ j ɤ4 _ h a3 j _ k ɛː2 _ p ᴐː5 _ tʰ aː3 _ kw iːa n
น้อยเพียงแต่ฟ้องว่าเอ๊ะและบุ๋มมั่วเสพม้ากลางแพใหญ่ชื่อบ้านท่าตะโก,n ᴐː4 j _ pʰ iːa ŋ t ɛː2 _ f ᴐː4 ŋ _ w aː3 _ ʔ e4 _ l ɛ4 _ b u5 m _ m uːa3 _ s eː2 p _ m aː4 _ kl aː ŋ _ pʰ ɛː _ j a2 j _ cʰ ɯː3 _ b aː3 n _ tʰ aː3 _ t a2 k oː
แม้หลานซื้อกล้วยถั่วกับงาเยอะแต่ตั๋วชมการแสดงช้างฟรีเอ้นั่งดูจึงหายคลั่ง,m ɛː4 _ l aː5 n _ s ɯː4 _ kl uːa3 j _ tʰ uːa2 _ k a2 p _ ŋ aː _ j ɤ4 _ t ɛː2 _ t uːa5 _ cʰ o m _ k aː n _ s a2 d ɛː ŋ _ cʰ aː4 ŋ _ fr iː _ ʔ eː3 _ n a3 ŋ _ d uː _ c ɯ ŋ _ h aː5 j _ kʰl a3 ŋ
สื่อหลักขอเฝ้าจับกุมเสือตอมือป๊อกผู้ฉวยเบี้ยซึ่งอาจปล้นเอาแก๊สก่อนเท้าแตะพื้นประเทศไทย,s ɯː2 _ l a2 k _ kʰ ᴐː5 f a3 w _ c a2 p k u m _ s ɯːa5 _ t ᴐː _ m ɯː _ p ᴐː4 k _ pʰ uː3 _ cʰ uːa5 j _ b iːa3 _ s ɯ3 ŋ _ ʔ aː2 t _ pl o3 n _ ʔ a w _ k ɛː4 t _ k ᴐː2 n _ tʰ aː4 w _ t ɛ2 _ pʰ ɯː4 n _ pr a2 tʰ eː3 t _ tʰ a j
หมากัดแผลถึงเหวอะสาหัสเปรอะตามตัวพบเชื้อในเนื้อลำคอหวั่นสี่แผลเชื้อก็ลามและแพร่หลาย,m aː5 _ k a2 t _ pʰ ɛː5 n _ tʰ ɯ5 ŋ _ w ɤ2 _ s aː5 h a2 t _ pr ɤ2 _ t aː m _ t uːa _ pʰ o4 p _ cʰ ɯːa4 _ n a j _ n ɯːa4 _ l a m kʰ ᴐː _ w a2 n _ s iː2 _ pʰ ɛː5 n _ cʰ ɯːa4 _ k ᴐː3 _ l aː m _ l ɛ4 _ pʰr ɛː3 l aː5 j
เสือจ๊อดปู้ยี่ปู้ยำเหยื่อประถมที่บ่อเกลืออ่วม,s ɯːa5 _ c ᴐː4 t _ p uː3 j iː3 p uː3 j a m _ j ɯːa2 _ pr a2 tʰ o5 m _ tʰ iː3 _ b ᴐː2 _ kl ɯːa _ ʔ uːa2 m
เซฟดันเทื้อนทรงเงินดีหรือคนซื่อพ่อครัวยากจนแห่งบ่อเกลือสู่คนเรือไม่เสียเที่ยวเตร่พลโทขิ่นยุ้นต์ได้รู้ฝีมือ,s eː3 p _ d a n _ tʰ ɯːa4 n _ s o ŋ _ ŋ ɤ n _ d iː _ r ɯː5 _ kʰ o n s ɯː3 _ pʰ ᴐː3 kʰr uːa _ j aː3 k c o n _ h ɛː2 ŋ _ b ᴐː2 _ kl ɯːa _ s uː2 _ kʰ o n _ r ɯːa _ m a3 j _ s iːa5 _ tʰ iːa3 w tr eː2 _ pʰ o n tʰ oː _ n a4 j u4 n _ d aː3 j _ r uː4 _ f iː5 m ɯː
แค่อัฟกันมาปล้นเมื่อไหร่เจอป้อมดิทมาร์เจาะลำบากและเดี๋ยวเบื่อแน่นอน,kʰ ɛː3 _ ʔ a4 f k a n _ m aː _ pl o3 n _ m ɯːa3 r a2 j _ c ɤː _ p ᴐː3 m _ d i2 t _ m aː _ c ᴐ2 _ l a m b aː2 k _ l ɛ4 _ d iːa5 w _ b ɯːa2 _ n ɛː3 n ᴐː n
สื่อเพียงรู้กว้างขึ้นแตะเรื่องป่าถล่มเละฆ่าเฟะเด็กสองแควชื่อหลินสู่กลุ่มหัวหนัก,s ɯː2 _ pʰ iːa ŋ _ r uː4 _ kw aː3 ŋ _ kʰ ɯ3 n _ t ɛ2 _ r ɯːa3 ŋ _ p aː2 _ tʰ a2 l o2 m _ l e4 _ kʰ aː3 _ f e4 _ d e2 k _ s ᴐː5 ŋ _ kʰw ɛː _ cʰ ɯː3 _ l i5 n _ s uː2 _ kl u2 m _ h uːa5 _ n a2 k
เหยื่อพระแฉมัดตัวพลุชี้ปลายนิ้วโป้งมีรอยแผลกว้างจากที่ผ่ากุ้ง,j ɯːa2 _ pʰr a4 _ cʰ ɛː5 _ m a4 t _ t uːa _ pʰl u4 _ cʰ iː4 _ pl aː j _ n i4 w p oː3 ŋ _ m iː _ r ᴐː j _ pʰ ɛː5 n _ kw aː3 ŋ _ c aː2 k _ tʰ iː3 _ pʰ aː2 _ k u3 ŋ
เจ๊อุโอ่ผลเรือคลองห้าตรงสองฟากสี่คลองสีกันแก่กรมค้ารับรู้แย่กว่าโครงการเรือของสีคิ้ว,c eː4 _ ʔ u2 _ ʔ oː2 _ pʰ o5 n _ r ɯːa _ kʰl ᴐː ŋ _ h aː3 _ tr o ŋ _ s ᴐː5 ŋ _ f aː3 k _ s iː2 _ kʰl ᴐː ŋ _ s iː5 _ k a n _ k ɛː2 _ kr o m _ kʰ aː4 _ r a4 p r uː4 _ j ɛː3 _ kw aː2 _ kʰr oː ŋ k aː n _ r ɯːa _ kʰ ᴐː5 ŋ _ s iː5 kʰ i4 w
เมื่อคว้าเป้สะพายปุ๊ก็โผกลางโต๊ะกลมขู่งดมื้อกลางวัน,m ɯːa3 _ kʰw aː4 _ p eː3 s a2 pʰ aː j _ p u4 _ k ᴐː3 _ pʰ oː5 _ kl aː ŋ _ t o4 kl o m _ kʰ uː2 _ ŋ o4 t _ m ɯː4 _ kl aː ŋ w a n
น้อยห่มหรือนุ่งส่าหรีเยอะกว่าหญิงฟ้าพราวที่ใส่เชิ้ตบ่อยเสียกว่า,n ᴐː4 j _ h o2 m _ r ɯː5 _ n u3 ŋ _ s aː2 r iː5 _ j ɤ4 _ kw aː2 _ j i5 ŋ _ f aː4 _ pʰr aː w _ tʰ iː3 _ s a2 j _ cʰ ɤː4 t _ b ᴐː2 j _ s iːa5 _ kw aː2
แม้เวลานี้เจ้าหญิงส่าหรีซื้อจิ้งจกน้ำไว้แต่เดี๋ยวก็เหงา,m ɛː4 _ w eː l aː _ n iː4 _ c aː3 w j i5 ŋ _ s aː2 r iː5 _ s ɯː4 _ c i3 ŋ c o2 k n aː4 m _ w a4 j _ t ɛː2 _ d iːa5 w _ k ᴐː3 _ ŋ a5 w
มือแฝงชื่ออุ๊แซ่โค้วตัวฟรีชงฝีมือโปรแค่พลิกเตะได้สี่คะแนน,m ɯː _ f ɛː5 ŋ _ cʰ ɯː3 _ ʔ u4 _ s ɛː3 _ kʰ oː4 w _ t uːa _ fr iː _ cʰ o ŋ _ f iː5 m ɯː _ pr oː _ kʰ ɛː3 _ pʰl i4 k _ t e2 _ d aː3 j _ s iː2 _ kʰ a4 n ɛː n
สื่อผสมสู้ฟ้องเสี่ยงหยงและเครือโค้วเจริญเข้มฐานโหว่คดีขอปุ๋ยพอฟ้องก็กลายเตะโด่งโต้ใครทำ,s ɯː2 pʰ a2 s o5 m _ s uː3 _ f ᴐː4 ŋ _ s iːa2 ŋ _ j o5 ŋ _ l ɛ4 _ kʰr ɯːa _ kʰ oː4 w _ c a2 r ɤː n _ kʰ eː3 m _ tʰ aː5 n _ w oː2 _ kʰ a4 d iː _ kʰ ᴐː5 _ p u5 j _ pʰ ᴐː _ f ᴐː4 ŋ _ k ᴐː3 _ kl aː j _ t e2 d oː2 ŋ _ t oː3 _ kʰr a j _ tʰ a m
ตู๋ปิ๋วโผคณะหัวไทรเหม่อไปเตะถูกโต๊ะหัวหน้าฉั่ว,t uː5 _ p i5 w _ pʰ oː5 _ kʰ a4 n a4 _ h uːa5 _ s a j _ m ɤː2 _ p a j _ t e2 _ tʰ uː2 k _ t o4 _ h uːa5 n aː3 _ cʰ a2 w
ต่วนหมงเทอะผู้สื่อข่าวบริษัทเสจำกัดกล่าวว่าคือความจริงที่เจือหินแก้วเป็นโคอ็อปเปอเรทซื้อยางโต๊ะผ้าและปลั๊กกับเรา,t uːa2 n _ m o5 ŋ _ tʰ ɤ4 _ pʰ uː3 s ɯː2 kʰ aː2 w _ b ᴐː r i4 s a2 t _ s eː5 _ c a m k a2 t _ kl aː2 w _ w aː3 _ kʰ ɯː _ kʰw aː m c i ŋ _ tʰ iː3 _ c ɯːa _ h i5 n k ɛː3 w _ p e n _ kʰ oː _ ʔ ᴐ2 p _ p ɤː _ r eː3 t _ s ɯː4 _ j aː ŋ _ t o4 _ pʰ aː3 _ l ɛ4 _ pl a4 k _ k a2 p _ r a w
พรมเปือยน้อยหรือเสี่ยแกละซื้อหมดที่ภาคเหนือหวังทั้งสี่ฟากเจาะบ้านชั้นกลาง,pʰr o m _ p ɯːa j _ n ᴐː4 j r ɯː5 _ s iːa2 _ kl ɛ2 _ s ɯː4 _ m o2 t _ tʰ iː3 _ pʰ aː3 k n ɯːa5 _ w a5 ŋ _ tʰ a4 ŋ _ s iː2 _ f aː3 k _ c ᴐ2 _ b aː3 n _ cʰ a4 n kl aː ŋ
เสี่ยเก๊าว่าเงินเฟ้อขยายตัวช้าแต่ตรวจทั่วกระดานรู้เร็วและหงารู้ป้องกัน,s iːa2 _ k a4 w _ w aː3 _ ŋ ɤ n f ɤː4 _ kʰ a2 j aː5 j t uːa _ cʰ aː4 _ t ɛː2 _ tr uːa2 t _ tʰ uːa3 _ kr a2 d aː n _ r uː4 _ r e w _ l ɛ4 _ ŋ aː5 _ r uː4 _ p ᴐː3 ŋ k a n
